Depot,Fleet Number,Vehicle Registration Number,Vehicle Make,Vehicle Model,Vehicle Operator,is AC?,Service Type,Registration Date,Status
Iyyappanthangal Depot,J1769,TN01AN3504,Ashok Leyland,BS-4,MTC,No,Deluxe,02-02-2020,Active
Iyyappanthangal Depot,J0181,TN01AN0506,Ashok Leyland,BS-4,MTC,No,Ordinary,04-09-2012,Active
Iyyappanthangal Depot,J1238,TN01AN2324,Ashok Leyland,BS-4,MTC,No,Ordinary,06-05-2019,Active
Iyyappanthangal Depot,J0909,TN01AN1692,Ashok Leyland,BS-4,MTC,No,Ordinary,20-09-2016,Active
Iyyappanthangal Depot,J1301,TN01AN2606,Ashok Leyland,BS-4,MTC,No,Ordinary,23-06-2019,Active
Iyyappanthangal Depot,J0782,TN01AN1512,Ashok Leyland,BS-4,MTC,No,Ordinary,01-05-2016,Active
Iyyappanthangal Depot,J1431,TN01AN2702,Ashok Leyland,BS-4,MTC,No,Ordinary,25-06-2019,Active
Iyyappanthangal Depot,J1263,TN01AN2379,Ashok Leyland,BS-4,MTC,No,Ordinary,20-05-2019,Active
Iyyappanthangal Depot,J0182,TN01AN0488,Ashok Leyland,BS-4,MTC,No,Ordinary,04-09-2012,Active
Iyyappanthangal Depot,J0180,TN01AN0480,Ashok Leyland,BS-4,MTC,No,Ordinary,04-09-2012,Active
Iyyappanthangal Depot,J1531,TN01AN2871,Ashok Leyland,BS-4,MTC,No,Ordinary,11-07-2019,Active
Iyyappanthangal Depot,I3361,TN01N9675,Ashok Leyland,BS-4,MTC,No,Ordinary,01-06-2011,Active
Chromepet-1 Depot,K0123,TN01AN4142,Ashok Leyland,BS-6,MTC,No,Deluxe,13-05-2019,Active
Chromepet-1 Depot,J0866,TN01AN1653,Ashok Leyland,BS-4,MTC,No,Deluxe,07-09-2016,Active
Basinbridge Depot,J0214,TN01AN0571,Ashok Leyland,BS-4,MTC,No,Ordinary,21-11-2012,Active
Thiyagaraya Nagar Depot,K0781,TN01AN5215,Ashok Leyland,BS-6,MTC,No,Deluxe,21-02-2025,Active
Basinbridge Depot,J0245,TN01AN0633,Ashok Leyland,BS-4,MTC,No,Ordinary,14-06-2013,Active
Basinbridge Depot,K0258,TN01AN4521,Ashok Leyland,BS-6,MTC,No,Ordinary,N/A,Active
Basinbridge Depot,K0261,TN01AN4466,Ashok Leyland,BS-6,MTC,No,Ordinary,N/A,Active
Basinbridge Depot,K0260,TN01AN4510,Ashok Leyland,BS-6,MTC,No,Ordinary,N/A,Active
Basinbridge Depot,K0259,TN01AN4432,Ashok Leyland,BS-6,MTC,No,Ordinary,N/A,Active
Ayanavaram Depot,J1476,TN01AN2710,Ashok Leyland,BS-4,MTC,No,Deluxe,27-06-2019,Active
Ayanavaram Depot,J1469,TN01AN2688,Ashok Leyland,BS-4,MTC,No,Deluxe,27-06-2019,Active
Ayanavaram Depot,J1349,TN01AN2656,Ashok Leyland,BS-4,MTC,No,Deluxe,25-06-2019,Active
Annanagar Depot,J1171,TN01AN2136,Ashok Leyland,BS-4,MTC,No,Deluxe,06-05-2019,Active
Ayanavaram Depot,J1362,TN01AN2760,Ashok Leyland,BS-4,MTC,No,Deluxe,02-07-2019,Active
